country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148,0.0479,0.148,1.58,2.9
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487,0.0269,0.0202,0.0247,0.0244,0.175,0.189,0.194,0.209,0.248,0.245,0.298,0.228,0.241,0.244,0.201,0.232,0.25,0.514,0.555,0.606,0.845,0.939,0.928,0.919,0.997,1.31,1.3,1.66,1.75,1.88
Oman,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381,0.75,0.758
Panama,,,,,,,,,,,,0.222,0.199,0.17,0.667,0.799,0.71,0.874,0.999,1.07,1.21,4.06,4.07,3.35,3.48,2.15,2.16,1.95,2.66,1.82,2.1,1.43,1.58,1.33,0.833,0.426,0.471,0.518,0.549,0.633,0.491,0.449,0.34,0.377,0.417,0.395,0.401,0.294,0.249,0.333,0.298,0.294,0.302,0.391,1.59,4.56
Paraguay,,,,,,,,,,,,16.2,13.5,10.6,8.06,5.73,6.29,6.3,3.52,5.5,5.35,5.82,3.85,3.91,3.4,0.905,0.235,0.161,0.14,0.0904,0.0699,0.0545,0.0516,0.0891,0.0439,0.0616,0.0714,0.0708,0.0708,0.0693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,,,,,,,,,,,,3.81,3.61,3.45,3.66,3.55,3.1,2.81,2.45,1.76,0.847,0.707,1.33,1.36,1.21,1.4,1.19,0.971,1,1.06,0.985,0.918,1.01,0.736,0.75,0.88,0.793,0.864,0.684,0.735,0.798,0.789,0.851,0.859,0.635,1.37,1.28,1.4,1.42,1.4,1.88,1.72,1.82,2.66,3.82,3.59
Philippines,,,,,,,,,,,,0,0,0,0,0,0,0,0.0193,3.83,11.5,16.8,20,23,25.3,26,26.6,21.7,21.3,22.3,22.4,22.4,22,21.3,20.7,18.3,17.8,18.2,21.4,25.6,25.7,22.2,21.1,18.6,18.4,17.5,18.5,17.2,17.7,16.8,14.8,14.6,14.4,13.1,13.8,14.9
Poland,0.0342,0.0341,0.0509,0.0379,0.0394,0.0594,0.0802,0.0859,0.0847,0.14,0.0916,0.145,0.243,0.266,0.257,0.218,0.177,0.243,0.228,0.205,0.205,0.236,0.231,0.291,0.26,0.293,0.267,0.135,0.0662,0.0719,0.0409,0.0625,0.0849,0.0463,0.0383,0.0496,0.0942,0.121,0.159,0.141,0.158,0.319,0.342,0.386,0.737,1.06,1.4,1.94,2.88,4.17,5.07,6.62,9.18,8.92,11.1,12.7
Portugal,1.37,1.48,1.5,1.73,0.415,4.44,3.58,3.23,3.65,4.08,2.5,1.81,1.28,2.04,1.68,2.21,2.29,1.7,1.59,1.6,2.1,2.25,2.3,2.24,1.94,2.91,2.98,3.05,2.91,2.6,2.45,2.74,3.01,2.96,3.14,3.16,3,3.3,3.01,3.18,3.56,3.7,4.23,4.26,5.45,7.64,9.72,13.1,17.2,20.2,22.7,24.2,30.2,31.1,30.8,30.6
Qatar,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369,0.0018,0,0,0,0.0193,0.0206,0,0,0,0.00548,0.00544,0.00708,0.0101,0.00638,0.0616,0.0447,0.0329,0.688,2.56,4.87,8.87,12.8,14.5
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00601,0.00609,0.00625,0.00628,0.00697,0.00687,0.00674,0.00684,0.00702,0.0071,0.00936,0.0132,0.0201,0.041,0.0486,0.0482,0.0515,0.0499,0.0476,0.0506,0.0526,0.0534,0.0493,0.046,0.0699,0.091
Saudi Arabia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0.00035,0.00032,0.0003
Senegal,,,,,,,,,,,,9.71,9.5,8.6,8.67,8.14,7.6,7.05,6.45,5.92,5.92,5.61,6.22,5.61,5.2,5.23,5.24,4.97,4.83,4.67,4.66,4.54,4.28,4.34,4.21,4.06,3.91,3.72,3.62,3.58,3.3,3.28,3.42,2.65,1.99,2.16,2.26,1.51,1.55,1.85,2.5,2.54,1.42,1.77,1.78,1.77
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0.0535,0.0867,0.0931
Singapore,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0.714,0.648,0.601,0.541,1.45,1.39,1.29,1.18,1.1,1.02,0.911,0.863,0.83,0.774,1.43,1.36,1.4,1.3,1.25,1.21,1.18,1.26,1.3,1.31,1.33,1.36,1.55,1.66,1.82
Slovak Republic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,0.472,0.326,0.0854,0.121,1.29,1.73,1.82,2.09,2.49,4.32,4.84,5.28,7.44,8.16
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.234,0.514,0.498,0.699,0.883,0.792,0.754,0.741,0.751,1.77,1.17,1.42,2,2.77,3.04,3.02,3.69
South Africa,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301,0.0703,0.114,0.0983,0.148,0.147,0.119,0.115,0.114,0.115,0.112,0.11,0.117,0.126,0.125,0.126,0.13,0.151,0.902,1.93
South Korea,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0.00088,0.00161,0.0021,0.00185,0.139,0.2,0.0369,0.0296,0.0416,0.035,0.0346,0.061,0.0644,0.0821,0.0977,0.137,0.217,0.294,0.415,0.504,0.554,0.588,0.835,1.06,1.5
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449,0.424,0.41,0.606
Spain,0,0,0,0,0,0,0,0,0,0,0.0835,0.0844,0.0898,0.074,0.0637,0.138,0.21,0.333,0.322,0.24,0.331,0.385,0.429,0.485,0.466,0.486,0.42,0.425,0.486,0.368,0.372,0.364,0.438,0.453,0.512,0.783,0.842,1.17,1.5,2.18,2.82,3.61,4.98,5.95,6.9,8.25,8.86,10.3,12.5,16.3,18.6,19.5,22.6,26.5,25.9,24.8
Sri Lanka,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485,0.157,0.162,0.198,0.181,0.182,0.215,0.221,0.202,0.27,0.431,0.954,1.23,1.58,2.34,2.67,3.19
Sudan,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0.215,0.24,0.315,0.511,0.475,0.385,0.41,0.4,0.297,0.365,0.749,0.896,1.01,1.33,1.5,1.32,1.44,1.35,1.4,1.54,1.34,1.27,1.4,1.53,1.61,1.65,1.61,2,1.95,1.97,3.14,2.64,3.26,3.83,5.31,5.32,6.52,7.57,8.23,10.2,10.6,11.7,11.6,13.9,14.3,16.8
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0.631,0.359,0.841,0.743,0.759,0.745,0.657,0.81,0.869,0.86,0.984,0.802,0.774,0.832,0.792,0.853,0.932,1.11,1.1,1.13,1.12,1.3,1.27,1.43,1.48,1.57,1.82,1.9,1.85,1.92,1.96,2.13,2.59,2.83,3.23,3.76,4.32
Syria,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.0478,0.0684,0.105,0.474,0.668,0.573,0.606,0.643,0.667
Thailand,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226,0.00199,0.00175,0.00158,0.0014,0.361,0.959,0.37,0.356,0.964,0.532,0.482,0.631,0.986,1.02,1.16,1.06,1.25,1.77,2.08,2.14,2.81,3.14,4.91,5.3,5.87
Togo,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0.658,1.14,1.08,1.06,1.36,5.1,1.63,2.63,2.23,3.91,4.5,5.38,3.45,6.17
Trinidad and Tobago,,,,,,,,,,,,3.53,3.15,2.62,2.17,2.01,1.47,1.58,1.86,1.56,1.28,0.831,0.668,0.551,0.432,0.562,0.79,0.891,0.775,0.758,0.867,0.672,0.755,0.734,0.786,0.766,0.374,0.361,0.348,0.343,0.366,0.514,0.461,0.186,0.358,0.312,0.626,0.248,0.259,0.242,0,0,0,0,0,0
Tunisia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.211,0.253,0.292,0.369,0.332,0.291,0.313,0.272,0.636,0.855,0.673,1.11,2.01,2.77,2.49
Turkey,1.46,1.46,1.26,1.58,2.18,2.02,2.2,2.79,2.58,2.27,1.93,1.66,1.56,1.59,1.54,1.41,0.881,1.06,0.631,0.644,0.584,0.446,0,0,0.0719,0.0175,0.111,0.131,0.144,0.121,0.139,0.198,0.174,0.182,0.166,0.357,0.274,0.365,0.298,0.202,0.22,0.274,0.219,0.163,0.151,0.115,0.158,0.316,0.58,1.12,1.85,2.51,3.07,4.08,4.76,6.31
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.00174,0.00174,0.0035,0.00926,0.0127,0.0172,0.0181,0.0204,0.0181,0.166,0.16,0.105,0.127,0.13,0.381,0.676,0.928,1.05
United Arab Emirates,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941,0.258,0.232
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0.00034,0.00033,0,0.00033,0.00288,0.19,0.218,0.305,0.44,0.573,0.611,0.656,0.795,0.978,1.17,1.3,1.44,1.65,1.87,2.38,3.04,3.43,3.72,4.34,5.37,5.87,7.93,9.96,13.7,17.5,23
United States,0.0153,0.0215,0.0228,0.0294,0.0307,0.0309,0.0316,0.0369,0.0447,0.0523,0.0503,0.0496,0.0993,0.14,0.146,0.18,0.192,0.192,0.151,0.196,0.239,0.263,0.216,0.262,0.321,0.434,0.462,0.479,0.445,2.27,3,1.9,2.14,2.13,2.13,1.97,1.97,1.9,1.83,1.89,1.92,1.88,2.01,2.02,2.09,2.2,2.42,2.59,3.09,3.68,4.1,4.79,5.49,6.32,6.9,7.39
Uruguay,,,,,,,,,,,,0.373,0.412,0.353,0.459,0.358,0.37,0.378,0.324,0.302,0.196,0.225,0.455,0.286,0.36,0.424,0.566,0.463,0.459,0.559,0.793,0.812,0.742,0.74,0.774,0.698,0.615,0.434,0.449,0.653,0.461,0.4,0.406,0.443,0.612,0.508,0.89,1.45,9.59,9.42,8.8,9.41,10.6,10.5,16.6,28.4
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932,0.107,0.118,0.0763,0.0866,0.111,0.137,0.122,0.116,0.105,0.118
Yemen,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0.828,1.04,0.782,1.08,1.42,1.83,1.73,1.44,1.33
