country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.332,0.33,0.375,0.348,0.486,0.552,0.511,0.535,0.365,0.398,0.466,0.491,0.696,0.82,0.784,0.87,0.917,1.04,1.02,1.03,1.21,1.31,1.46,1.4,1.52,1.57,1.68,1.63,1.7,1.8,1.82,1.74,2.38,3.21,3.3,3.51,4.41,5.57,6.27
Chile,,,,,,,,,,,,0.774,0.638,0.582,0.495,0.584,0.787,0.818,0.878,0.844,0.894,0.918,1.15,1.65,1.49,1.39,1.9,1.73,1.93,1.8,5.24,5.18,7.79,7.29,7.07,6.7,5.66,5.23,3.27,2.63,2.35,4.88,4.47,3.87,3.98,3.42,2.6,4.62,5.23,7.17,4.27,7.63,7.55,8.65,10.1,11.9
China,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0111,0.0174,0.0171,0.0544,0.306,0.152,0.259,0.245,0.244,0.234,0.225,0.21,0.191,0.179,0.297,0.387,0.477,0.86,1.29,1.67,2.14,2.66,3.56,4.06,4.86
Colombia,,,,,,,,,,,,0,0,0,0,1.46,1.47,1.26,1.19,1.14,1.11,1.02,1.04,1.02,1.01,0.995,0.904,0.851,0.83,0.784,0.754,0.727,1.03,1.01,1.07,1.12,1.14,1.08,1.18,1.07,1.15,1.14,1.09,1.06,1.04,1.1,1.1,1.05,1.06,1.05,4.13,3.34,3.22,3.03,3.13,3.28
"Congo, Dem. Rep.",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0.218,0.102,0.112
"Congo, Rep.",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,,,,,,,,,,,,0.871,0.552,0.52,0.477,0.523,0.486,0.568,0.416,0.451,0.449,0.423,0.406,0.348,0.326,0.355,0.339,0.319,0.313,0,0,0.259,9.87,9.87,9.87,9.94,11.3,11.3,12.7,14.7,17,17.6,19,17.1,18.1,17.2,18,17.2,14.9,17.6,17.5,18.7,20.7,21.4,24,24.4
Cote d'Ivoire,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,1.94,1.98,2.04,2.03,1.23,1.16,1.05,0.941,0.889,0.845,1.21
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.112,0.0674,0.199,0.0684,0.097,0.0806,0.00977,0.0786,0.0694,0.00888,0,0,0,0.0432,0.184,0.232,0.343,0.477,0.591,1.16,2.28,4.01,4.68,6.92,9.96
Cuba,,,,,,,,,,,,16.3,12.2,12.6,12.2,11.5,10.7,10.9,11.3,10.2,9.55,9.22,9.45,9.39,9.15,9.27,8.99,8.86,9.06,8.4,9.64,9.54,11.6,8.06,7.5,5.54,6.97,6.15,5.51,6.08,6.28,6.08,5.98,4.55,5.05,2.74,2.47,2.36,3.19,3.07,2.68,2.67,3.11,3.69,3.48,3.71
Cyprus,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229,0.0215,0.0616,0.295,0.594,1.37,3.61,5.45,7.62,7.29,8.78
Czech Republic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0.55,0.669,0.458,0.769,0.908,1.06,0.721,0.705,0.666,0.599,0.862,0.918,1.16,1.51,2.05,2.73,3.65,6.09,6.85,7.64,8.54,9.23
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147,0.0271,0.0411,0.0557,0.0801,0.271,0.291,0.299,0.575,0.797,1.33,2.42,3.07,2.82,4.31,4.65,4.21,4.95,3.84,6.57,9.48,11.2,15.4,15.4,17.2,17.4,23.5,27,20.1,26.1,27.5,27.6,31.9,40.2,48.3,45.9,55.9,65.4
Dominican Republic,,,,,,,,,,,,4.36,4.45,3.34,3.6,3.21,3.37,2.87,2.78,2.63,2.3,2.26,2.88,2.73,3.53,1.2,1.16,1.12,0.769,0.768,0.676,0.642,0.466,0.654,0.796,0.749,0.605,0.663,0.286,0.227,0.244,0.25,0.172,0.16,0.214,0.164,0.152,0.147,0.146,0.156,0.146,0.348,1.53,3.84,4.37,5.27
Ecuador,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,1.04,1.34,1.12,1.18,1.23,1.37,1.3,1.53,2.04,2.1
Egypt,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.175,0.265,0.229,0.387,0.516,0.508,0.534,0.664,0.697,0.815,1.16,1.11,0.909,0.937,0.967,0.878
El Salvador,,,,,,,,,,,,0,0,0,0,16.8,46,40.5,42.2,31.6,33.7,56.8,62.6,43.6,42.1,24.7,22.3,23,21.7,21.7,18.9,18.5,16.4,13.7,12.9,13.4,12.8,13.6,11.9,16.2,23.3,24.6,23.9,24.1,23.8,23.6,22.7,26.3,28.4,30.3,30.2,29.9,30.6,31.9,32.1,35.2
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.467,0.513,0.467,0.476,0.429,0.386,0.361,0.353,0.347,0.743,0.694,0.697,0.678,0.643,0.593,0.557,0.541,0.515,0.493
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.069,0.0549,0.0868,0.141,0.145,0.153,0.13,0.281,0.354,0.369,0.872,1.19,1.02,1.6,5.8,7.84,8.91,12,8.99,10.9,14.2
